epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,468.923,2.28985,3.88232,0.00254,0.67911,0.62423,0.65307,0.48457,1.50188,1.94278,0.0032,0.00996667,0.00332222,0.00996667,0.00332222,0.00996667,0.00332222,0.00996667,0.00332222
2,943.169,2.229,1.86092,0.00233,0.69442,0.65236,0.67363,0.48702,1.57482,1.36551,0.00342,0.0196372,0.00654574,0.0196372,0.00654574,0.0196372,0.00654574,0.0196372,0.00654574
3,1358.81,2.27114,1.73742,0.00242,0.68018,0.62244,0.63755,0.41056,1.86612,1.69885,0.00445,0.0289778,0.00965926,0.0289778,0.00965926,0.0289778,0.00965926,0.0289778,0.00965926
4,1858.27,2.29261,1.72483,0.00248,0.72448,0.64461,0.67796,0.44462,1.69643,1.40113,0.00399,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
5,2280.17,2.25447,1.65765,0.00236,0.72044,0.67046,0.69367,0.48974,1.57252,1.17478,0.00357,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
6,2695.46,2.21318,1.59153,0.00231,0.75719,0.67095,0.70126,0.51715,1.53234,1.10078,0.00328,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175
7,3195.1,2.17681,1.56598,0.00226,0.76799,0.69026,0.73238,0.52876,1.47429,1.10797,0.00322,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
8,3610.8,2.18712,1.54047,0.00222,0.77288,0.71357,0.74457,0.53096,1.47889,1.00174,0.00321,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
9,4109.37,2.15269,1.5005,0.00219,0.78457,0.71274,0.73781,0.53905,1.46482,0.94401,0.00308,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
10,4540.13,2.1384,1.48007,0.00218,0.79693,0.71921,0.75324,0.55583,1.38741,0.94148,0.00295,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
11,4950.17,2.12864,1.46123,0.00214,0.79886,0.7263,0.7564,0.55872,1.38809,0.94774,0.00291,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
12,5458.59,2.12132,1.44186,0.00211,0.78688,0.72822,0.75597,0.55304,1.40028,0.91165,0.00297,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185
13,6014.77,2.11049,1.43811,0.0021,0.81071,0.73886,0.76754,0.5748,1.3389,0.8867,0.00272,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
14,6619.9,2.10582,1.4164,0.00209,0.80612,0.72899,0.76208,0.57739,1.35575,0.87838,0.00277,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855
