epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,563.434,1.15923,5.31574,0.00276,0.7481,0.70104,0.76471,0.58518,0.93535,1.80475,0.00318,0.00995261,0.00331754,0.00995261,0.00331754,0.00995261,0.00331754,0.00995261,0.00331754
2,824.345,1.11371,1.29373,0.00259,0.81617,0.76347,0.84624,0.65523,0.88725,0.85961,0.00305,0.0196234,0.00654113,0.0196234,0.00654113,0.0196234,0.00654113,0.0196234,0.00654113
3,1086.01,1.15518,0.97499,0.00273,0.77394,0.70579,0.7527,0.52823,1.22123,1.46079,0.00447,0.0289642,0.00965472,0.0289642,0.00965472,0.0289642,0.00965472,0.0289642,0.00965472
4,1346.94,1.18289,0.93657,0.00282,0.86951,0.81661,0.88356,0.65827,0.99525,0.82891,0.00352,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
5,1606.38,1.13176,0.85461,0.00267,0.86986,0.80394,0.86609,0.64187,1.00399,0.70844,0.00358,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
6,1864.8,1.09596,0.79656,0.00256,0.88486,0.83957,0.89535,0.68678,0.93457,0.62157,0.00321,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175
7,2126.02,1.06916,0.76742,0.00248,0.88532,0.86832,0.92581,0.71774,0.89336,0.54091,0.00311,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
8,2385.32,1.0465,0.72239,0.00242,0.8729,0.8628,0.91012,0.70786,0.87786,0.60609,0.00305,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
9,2643.93,1.02411,0.7023,0.00235,0.89214,0.86284,0.91117,0.71242,0.89071,0.61144,0.00308,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
10,2905.74,1.01215,0.67882,0.00231,0.8874,0.8506,0.90765,0.71513,0.88107,0.57248,0.00308,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
11,3166.46,1.00181,0.66549,0.00227,0.89635,0.90369,0.93915,0.76453,0.77718,0.48463,0.0026,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
12,3427.55,0.98143,0.65449,0.00221,0.91953,0.8778,0.93579,0.76145,0.77407,0.47388,0.0026,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185
13,3699.56,0.96635,0.62793,0.00217,0.91893,0.89986,0.94282,0.76653,0.78305,0.43492,0.00262,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
14,3966.64,0.95574,0.61222,0.00216,0.93447,0.89158,0.9462,0.76876,0.77237,0.43627,0.00258,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855
15,4188,0.96133,0.60912,0.00214,0.94369,0.8867,0.94808,0.78468,0.72971,0.4342,0.00243,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
16,4397.92,0.94399,0.58525,0.00211,0.93098,0.91709,0.95734,0.7945,0.73405,0.37754,0.00239,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
17,4630.15,0.93212,0.58272,0.00208,0.91079,0.91668,0.94729,0.78346,0.73017,0.41595,0.00244,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
18,4866.27,0.92278,0.56953,0.00205,0.93773,0.8955,0.95131,0.7956,0.71739,0.40569,0.00235,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195
19,5094.83,0.9254,0.57191,0.00205,0.94638,0.89413,0.9519,0.8006,0.69471,0.39469,0.00226,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
20,5301.96,0.92056,0.55634,0.00204,0.9426,0.90979,0.95962,0.80582,0.67389,0.38087,0.00221,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865
